freq,tsky,dt21,injected
51.184082000000004,4645.419803135643,-0.099255,-0.04881586435683117
51.574707000000004,4556.448340912307,0.021244,-0.05276608769321363
51.965332000000004,4469.734797439784,0.032533,-0.05687156021566596
52.355957000000004,4385.261064554267,-0.001962,-0.06111944573320862
52.746582,4303.054897269623,0.023546,-0.06549573037708806
53.137207,4222.947525628681,0.015000999999999999,-0.06998537131869532
53.527832,4144.93411854574,0.03914,-0.07457245426035132
53.918457,4068.878162643296,0.028025,-0.0792403567043403
54.309082,3994.6895160858885,-0.042742,-0.08397191411154571
54.699707,3922.512740413777,0.034444,-0.08874958622297485
55.090332,3852.0813003789754,0.05352899999999999,-0.09355562102482222
55.480957,3783.3451197859204,0.022483000000000003,-0.09837221408001852
55.871582,3716.314460338784,0.007294,-0.10318166121630262
56.262207,3650.9345804971567,0.006737999999999999,-0.10796650284325165
56.652832,3587.1036893415408,-0.029556,-0.11270965845977785
57.043457,3524.887456449798,0.013496000000000001,-0.1173945502016984
57.434082,3464.1343907854407,0.031911,-0.12200521455954727
57.824707,3404.7372965983354,-0.035817,-0.12652640166436893
58.215332,3346.812772338211,-0.029136000000000002,-0.13094366178945188
58.605957,3290.228166581054,-0.038399,-0.1352434189455225
58.996582,3234.9445939683465,-0.061770000000000005,-0.13941303165350752
59.387207,3180.956109158839,-0.06598,-0.1434408411611475
59.777832,3128.2236347924736,-0.052334000000000006,-0.14731620752687932
60.168457,3076.7119064658737,-0.019694999999999997,-0.15102953412652326
60.559082,3026.327222718754,-0.026675,-0.15457228124604683
60.949707,2977.0980590304916,-0.010962999999999999,-0.1579369695080896
61.340332,2928.9662188260577,0.001889,-0.16111717394247055
61.730957,2881.891692490447,0.003372,-0.16410750955326778
62.121582,2835.869062390741,0.018483000000000003,-0.16690360925914255
62.512207,2790.8477899049085,0.026062000000000002,-0.1695020950913773
62.902832,2746.8157884564725,0.042412,-0.17190054352764114
63.293457,2703.7017345541794,0.023657,-0.17409744582081824
63.684082,2661.528197835846,0.018917,-0.17609216415329706
64.07470699999999,2620.2204301155903,-0.020862000000000002,-0.17788488440979633
64.46533199999999,2579.847391433682,-0.001848,-0.1794765663178616
64.85595699999999,2540.3413081083436,0.032272,-0.1808688916562117
65.24658199999999,2501.600836788821,0.003478,-0.18206421117862973
65.63720699999999,2463.718433509154,0.026801,-0.1830654908463746
66.02783199999999,2426.5828647420935,0.012846999999999999,-0.1838762579063115
66.41845699999999,2390.226915452704,0.015499,-0.18450054729609985
66.80908199999999,2354.5960721511974,0.00059,-0.18494284880270198
67.19970699999999,2319.724490944653,0.021845,-0.18520805534687956
67.59033199999999,2285.528890587286,0.014759,-0.18530141271480505
67.98095699999999,2252.0127805289912,0.0008039999999999999,-0.18522847100888387
68.37158199999999,2219.159854961956,-0.019178999999999998,-0.18499503804369982
68.76220699999999,2187.00138286513,0.002433,-0.18460713486990257
69.15283199999999,2155.463705046431,0.0076040000000000005,-0.18407095356901287
69.54345699999999,2124.5523661825746,0.01686,-0.18339281742560193
69.93408199999999,2094.25088785645,0.028188,-0.18257914355013052
70.32470699999999,2064.511685592004,0.008089,-0.1816364079958694
70.71533199999999,2035.3509598866133,-0.013397999999999998,-0.18057111338668577
71.10595699999999,2006.785375240951,-0.005927,-0.17938975904895532
71.49658199999999,1978.7424521863798,-0.028399,-0.1780988136202999
71.88720699999999,1951.29852730991,0.008999,-0.17670469009009887
72.27783199999999,1924.3225292767884,-0.01149,-0.1752137232115864
72.66845699999999,1897.8815468507873,-0.009683,-0.17363214921265818
73.05908199999999,1871.924463912278,-0.023913999999999998,-0.1719660877220584
73.44970699999999,1846.4666834741809,-0.026358,-0.17022152581922165
73.84033199999999,1821.4965316958903,-0.016675,-0.1684043041095118
74.23095699999999,1796.9790498952782,-0.018228,-0.1665201047217377
74.62158199999999,1772.9124405588784,-0.021634,-0.16457444112146977
75.01220699999999,1749.3365683503685,0.023762000000000002,-0.1625726496316486
75.40283199999999,1726.1346921174488,0.011635,-0.16051988255111588
75.79345699999999,1703.3667048972384,0.01196,-0.15842110276185556
76.18408199999999,1681.013151920283,0.015037,-0.15628107971676955
76.57470699999999,1659.0320236132982,-0.01168,-0.15410438670160337
76.96533199999999,1637.485103600733,0.002774,-0.15189539926706078
77.35595699999999,1616.3216697052699,0.016595,-0.14965829473009742
77.74658199999999,1595.5103239473533,0.007047,-0.14739705264677092
78.13720699999999,1575.0684465438371,-6.9e-05,-0.14511545616275062
78.52783199999999,1554.9896319058485,-0.002971,-0.14281709415158986
78.91845699999999,1535.2708476359448,0.0032700000000000003,-0.14050536405505998
79.30908199999999,1515.9037945246557,0.018095,-0.1381834753441797
79.69970699999999,1496.8507265464762,0.011289,-0.13585445352399722
80.09033199999999,1478.1164048553903,-0.00507,-0.1335211446096414
80.48095699999999,1459.7114277799944,-0.013271000000000002,-0.13118622000562408
80.87158199999999,1441.6372038182753,-0.005002,-0.12885218172479762
81.26220699999999,1423.8418386321123,-0.025461,-0.1265213678877431
81.65283199999999,1406.3791940415524,-0.014306999999999999,-0.12419595844763658
82.04345699999999,1389.2273580189103,0.012805,-0.12187798108981336
82.43408199999999,1372.3274596827407,0.0030210000000000002,-0.11956931725929443
82.82470699999999,1355.7388672917266,0.021488,-0.1172717082734489
83.21533199999999,1339.3923062385193,0.004456,-0.11498676148072114
83.60595699999999,1323.33410004357,0.003539,-0.11271595642996152
83.99658199999999,1307.5614073489817,0.020975999999999998,-0.11046065101833226
84.38720699999999,1292.0195419124111,0.0070079999999999995,-0.10822208758904314
